taskID,name,field_ra,field_dec,telescopes,duration,quality,beamPattern
200203046,S2328+3848,352.1875,38.808889,2346789ABCD,41400,bad,square_39p1
200614001,M0141+3356,25.495833,33.944444,23456789ABCD,41400,bad,square_39p1
200816041,S2130+4340,322.729167,43.673056,23456789ACD,41400,bad,square_39p1
210219039,S2048+3356,312.1625,33.944444,23456789ABCD,41400,bad,square_39p1
210518009,S1308+5324,197.179167,53.401389,23456789ABCD,41820,bad,square_39p1
210618128,M2214+3130,333.691667,31.5125,456789ABCD,41400,bad,square_39p1
210619041,S2221+3356,335.495833,33.944444,456789ABCD,41400,bad,square_39p1
210620041,S1318+5550,199.55,55.833333,456789ABCD,41400,bad,square_39p1
210626041,S1326+5815,201.604167,58.265556,23456789ABCD,41400,bad,square_39p1
210627001,S0103+3130,15.854167,31.5125,23456789ABCD,41400,bad,square_39p1
210718041,S1345+5324,206.291667,53.401389,23456789ABCD,41400,unknown,square_39p1
210823041,S2248+3356,342.1625,33.944444,23456789ABCD,41400,bad,square_39p1
211002041,S2258+2904,344.616667,29.080278,23456789ABCD,41400,bad,square_39p1
211003041,S1404+6041,211.045833,60.6975,23456789ABCD,41400,bad,square_39p1
211003042,S0145+4114,26.304167,41.240833,23456789ABCD,41400,bad,square_39p1
211215041,S1123+5550,170.75,55.833333,23456789ABCD,41400,bad,square_39p1
211216001,S2342+5058,355.520833,50.969167,23456789ABCD,41400,bad,square_39p1
211218001,S0130+2904,22.5125,29.080278,23456789ABCD,41400,bad,square_39p1
211219041,M2214+3130,333.691667,31.5125,23456789ABCD,41400,bad,square_39p1
220213001,S1042+5324,160.720833,53.401389,23456789ABCD,41400,bad,square_39p1
220217042,S2204+3848,331.0125,38.808889,23456789ABCD,41400,bad,square_39p1
